Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Round Number,Year,Time_diff
0 days 00:00:57.060000,24.1,36.2,997.1,False,38.2,294,3.0,1,2018,
0 days 00:01:57.078000,24.0,36.3,997.1,False,38.6,273,1.4,1,2018,0 days 00:01:00.018000
0 days 00:02:57.090000,24.0,36.3,997.1,False,38.6,273,1.4,1,2018,0 days 00:01:00.012000
0 days 00:03:57.106000,23.9,37.2,997.0,False,38.7,287,2.3,1,2018,0 days 00:01:00.016000
0 days 00:04:57.121000,24.2,35.8,997.1,False,38.7,309,3.5,1,2018,0 days 00:01:00.015000
0 days 00:05:57.132000,24.2,35.8,997.1,False,38.7,309,3.5,1,2018,0 days 00:01:00.011000
0 days 00:06:57.146000,24.2,36.5,997.1,False,38.8,306,2.0,1,2018,0 days 00:01:00.014000
0 days 00:07:57.159000,24.2,36.3,997.0,False,38.9,307,4.1,1,2018,0 days 00:01:00.013000
0 days 00:08:58.221000,24.2,36.3,996.9,False,38.2,296,3.8,1,2018,0 days 00:01:01.062000
0 days 00:09:57.189000,24.1,36.6,997.1,False,37.1,289,3.7,1,2018,0 days 00:00:58.968000
0 days 00:10:57.202000,23.9,36.5,997.1,False,36.7,289,4.3,1,2018,0 days 00:01:00.013000
0 days 00:11:57.661000,23.9,36.3,997.1,False,36.8,255,2.9,1,2018,0 days 00:01:00.459000
0 days 00:12:57.484000,23.8,35.7,997.1,False,36.6,210,2.7,1,2018,0 days 00:00:59.823000
0 days 00:13:57.637000,23.5,36.3,997.2,False,36.4,267,2.5,1,2018,0 days 00:01:00.153000
0 days 00:14:57.832000,23.4,36.5,997.2,False,36.3,283,2.1,1,2018,0 days 00:01:00.195000
0 days 00:15:57.740000,23.5,36.6,997.0,False,36.2,295,3.5,1,2018,0 days 00:00:59.908000
0 days 00:16:57.351000,23.5,36.7,997.1,False,36.4,301,3.4,1,2018,0 days 00:00:59.611000
0 days 00:17:57.370000,23.8,35.6,997.0,False,37.5,297,2.9,1,2018,0 days 00:01:00.019000
0 days 00:18:57.318000,23.9,35.4,997.0,False,37.6,334,4.1,1,2018,0 days 00:00:59.948000
0 days 00:19:57.349000,23.9,35.9,997.0,False,38.0,294,2.0,1,2018,0 days 00:01:00.031000
0 days 00:20:57.606000,24.1,35.1,997.1,False,38.0,283,4.0,1,2018,0 days 00:01:00.257000
0 days 00:21:57.359000,24.0,35.1,997.0,False,38.4,326,3.3,1,2018,0 days 00:00:59.753000
0 days 00:22:57.588000,23.9,35.3,997.0,False,37.9,297,2.4,1,2018,0 days 00:01:00.229000
0 days 00:23:57.524000,24.0,35.0,997.0,False,37.1,267,0.9,1,2018,0 days 00:00:59.936000
0 days 00:24:57.670000,23.9,35.6,997.0,False,36.6,0,1.6,1,2018,0 days 00:01:00.146000
0 days 00:25:57.411000,23.9,35.6,997.0,False,36.3,283,1.5,1,2018,0 days 00:00:59.741000
0 days 00:26:57.439000,23.9,35.6,997.0,False,36.2,354,1.2,1,2018,0 days 00:01:00.028000
0 days 00:27:57.438000,23.9,34.8,996.9,False,36.2,278,2.2,1,2018,0 days 00:00:59.999000
0 days 00:28:57.450000,23.7,35.6,997.1,False,37.2,270,2.0,1,2018,0 days 00:01:00.012000
0 days 00:29:57.489000,23.9,35.2,997.0,False,37.7,211,2.3,1,2018,0 days 00:01:00.039000
0 days 00:30:57.476000,24.1,35.3,997.0,False,38.1,315,1.1,1,2018,0 days 00:00:59.987000
0 days 00:31:57.489000,24.3,34.4,997.0,False,38.4,294,2.4,1,2018,0 days 00:01:00.013000
0 days 00:32:57.572000,24.4,33.8,997.0,False,38.4,275,3.4,1,2018,0 days 00:01:00.083000
0 days 00:33:57.516000,24.2,34.0,996.9,False,38.6,289,3.5,1,2018,0 days 00:00:59.944000
0 days 00:34:57.530000,24.0,34.4,996.9,False,38.6,294,2.9,1,2018,0 days 00:01:00.014000
0 days 00:35:57.925000,24.0,35.0,996.8,False,38.6,291,2.9,1,2018,0 days 00:01:00.395000
0 days 00:36:57.554000,24.1,34.5,996.8,False,38.5,349,3.8,1,2018,0 days 00:00:59.629000
0 days 00:37:57.570000,24.1,34.5,996.8,False,38.3,292,3.2,1,2018,0 days 00:01:00.016000
0 days 00:38:58.795000,24.1,34.5,996.8,False,38.3,292,3.2,1,2018,0 days 00:01:01.225000
0 days 00:39:58.038000,24.1,34.9,996.9,False,38.4,279,2.4,1,2018,0 days 00:00:59.243000
0 days 00:40:58.303000,24.2,34.4,996.9,False,38.0,282,3.8,1,2018,0 days 00:01:00.265000
0 days 00:41:58.081000,23.9,34.9,996.7,False,37.8,279,2.5,1,2018,0 days 00:00:59.778000
0 days 00:42:58.162000,23.7,34.4,996.8,False,37.1,318,2.2,1,2018,0 days 00:01:00.081000
0 days 00:43:58.309000,23.7,34.6,996.8,False,36.7,278,2.5,1,2018,0 days 00:01:00.147000
0 days 00:44:57.659000,23.7,33.4,996.9,False,36.6,290,3.7,1,2018,0 days 00:00:59.350000
0 days 00:45:57.669000,23.9,33.8,996.9,False,37.0,317,2.5,1,2018,0 days 00:01:00.010000
