resultId,raceId,driverId,positionOrder,points,time,milliseconds,laps,fastestLapTime,rank,fastestLapSpeed,statusId
23782,989,20,1,25.0,1:29:33.283,5373283,58,1:26.469,4,220.782,1
23783,989,1,2,18.0,+5.036,5378319,58,1:26.444,3,220.845,1
23784,989,8,3,15.0,+6.309,5379592,58,1:26.373,2,221.027,1
23785,989,817,4,12.0,+7.069,5380352,58,1:25.945,1,222.128,1
23786,989,4,5,10.0,+27.886,5401169,58,1:26.978,7,219.489,1
23787,989,830,6,8.0,+28.945,5402228,58,1:26.880,5,219.737,1
23788,989,807,7,6.0,+32.671,5405954,58,1:27.081,9,219.230,1
23789,989,822,8,4.0,+34.339,5407622,58,1:27.019,8,219.386,1
23790,989,838,9,2.0,+34.921,5408204,58,1:26.958,6,219.540,1
23791,989,832,10,1.0,+45.722,5419005,58,1:27.944,12,217.079,1
23792,989,815,11,0.0,+46.817,5420100,58,1:27.633,11,217.849,1
23793,989,839,12,0.0,+1:00.278,5433561,58,1:27.600,10,217.931,1
23794,989,844,13,0.0,+1:15.759,5449042,58,1:28.759,15,215.085,1
23795,989,840,14,0.0,+1:18.288,5451571,58,1:28.511,14,215.688,1
23796,989,843,15,0.0,\N,\N,57,1:28.176,13,216.507,11
23797,989,154,16,0.0,\N,\N,24,1:28.805,16,214.974,36
23798,989,825,17,0.0,\N,\N,22,1:29.534,17,213.224,36
23799,989,842,18,0.0,\N,\N,13,1:30.649,18,210.601,5
23800,989,828,19,0.0,\N,\N,5,1:32.210,19,207.036,38
23801,989,845,20,0.0,\N,\N,4,1:32.573,20,206.224,23
23802,990,20,1,25.0,1:32:01.940,5521940,57,1:34.453,7,206.274,1
23803,990,822,2,18.0,+0.699,5522639,57,1:33.740,1,207.842,1
23804,990,1,3,15.0,+6.512,5528452,57,1:33.953,2,207.371,1
23805,990,842,4,12.0,+1:02.234,5584174,57,1:34.863,11,205.382,1
23806,990,825,5,10.0,+1:15.046,5596986,57,1:34.327,5,206.549,1
23807,990,807,6,8.0,+1:39.024,5620964,57,1:34.667,9,205.807,1
23808,990,4,7,6.0,\N,\N,56,1:34.168,4,206.898,11
23809,990,838,8,4.0,\N,\N,56,1:35.131,16,204.803,11
23810,990,828,9,2.0,\N,\N,56,1:35.093,15,204.885,11
