raceId,year,round,circuitId,name,url,date & time
1098,2023,1,3,Bahrain Grand Prix,https://en.wikipedia.org/wiki/2023_Bahrain_Grand_Prix,2023-03-05 15:00:00
1099,2023,2,77,Saudi Arabian Grand Prix,https://en.wikipedia.org/wiki/2023_Saudi_Arabian_Grand_Prix,2023-03-19 17:00:00
1100,2023,3,1,Australian Grand Prix,https://en.wikipedia.org/wiki/2023_Australian_Grand_Prix,2023-04-02 05:00:00
1101,2023,4,73,Azerbaijan Grand Prix,https://en.wikipedia.org/wiki/2023_Azerbaijan_Grand_Prix,2023-04-30 11:00:00
1102,2023,5,79,Miami Grand Prix,https://en.wikipedia.org/wiki/2023_Miami_Grand_Prix,2023-05-07 19:30:00
1104,2023,6,6,Monaco Grand Prix,https://en.wikipedia.org/wiki/2023_Monaco_Grand_Prix,2023-05-28 13:00:00
1105,2023,7,4,Spanish Grand Prix,https://en.wikipedia.org/wiki/2023_Spanish_Grand_Prix,2023-06-04 13:00:00
1106,2023,8,7,Canadian Grand Prix,https://en.wikipedia.org/wiki/2023_Canadian_Grand_Prix,2023-06-18 18:00:00
1107,2023,9,70,Austrian Grand Prix,https://en.wikipedia.org/wiki/2023_Austrian_Grand_Prix,2023-07-02 13:00:00
1108,2023,10,9,British Grand Prix,https://en.wikipedia.org/wiki/2023_British_Grand_Prix,2023-07-09 14:00:00
1109,2023,11,11,Hungarian Grand Prix,https://en.wikipedia.org/wiki/2023_Hungarian_Grand_Prix,2023-07-23 13:00:00
1110,2023,12,13,Belgian Grand Prix,https://en.wikipedia.org/wiki/2023_Belgian_Grand_Prix,2023-07-30 13:00:00
1111,2023,13,39,Dutch Grand Prix,https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix,2023-08-27 13:00:00
1112,2023,14,14,Italian Grand Prix,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix,2023-09-03 13:00:00
1113,2023,15,15,Singapore Grand Prix,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix,2023-09-17 12:00:00
1114,2023,16,22,Japanese Grand Prix,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix,2023-09-24 05:00:00
1115,2023,17,78,Qatar Grand Prix,https://en.wikipedia.org/wiki/2023_Qatar_Grand_Prix,2023-10-08 17:00:00
1116,2023,18,69,United States Grand Prix,https://en.wikipedia.org/wiki/2023_United_States_Grand_Prix,2023-10-22 19:00:00
1117,2023,19,32,Mexico City Grand Prix,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix,2023-10-29 20:00:00
1118,2023,20,18,São Paulo Grand Prix,https://en.wikipedia.org/wiki/2023_S%C3%A3o_Paulo_Grand_Prix,2023-11-05 17:00:00
1119,2023,21,80,Las Vegas Grand Prix,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix,2023-11-19 06:00:00
1120,2023,22,24,Abu Dhabi Grand Prix,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix,2023-11-26 13:00:00
