resultId,raceId,driverId,positionOrder,points,laps,rank,statusId,time_,fastestLapTime_,fastestLapSpeed_,year,round,circuitId,name,url,date & time
23782,989,20,1,25.0,58,4,1,0 days 01:29:33.283000,0 days 00:01:26.469000,220.782,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23783,989,1,2,18.0,58,3,1,0 days 01:29:38.319000,0 days 00:01:26.444000,220.845,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23784,989,8,3,15.0,58,2,1,0 days 01:29:39.592000,0 days 00:01:26.373000,221.027,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23785,989,817,4,12.0,58,1,1,0 days 01:29:40.352000,0 days 00:01:25.945000,222.128,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23786,989,4,5,10.0,58,7,1,0 days 01:30:01.169000,0 days 00:01:26.978000,219.489,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23787,989,830,6,8.0,58,5,1,0 days 01:30:02.228000,0 days 00:01:26.880000,219.737,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23788,989,807,7,6.0,58,9,1,0 days 01:30:05.954000,0 days 00:01:27.081000,219.23,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23789,989,822,8,4.0,58,8,1,0 days 01:30:07.622000,0 days 00:01:27.019000,219.386,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23790,989,838,9,2.0,58,6,1,0 days 01:30:08.204000,0 days 00:01:26.958000,219.54,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23791,989,832,10,1.0,58,12,1,0 days 01:30:19.005000,0 days 00:01:27.944000,217.079,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23792,989,815,11,0.0,58,11,1,0 days 01:30:20.100000,0 days 00:01:27.633000,217.849,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23793,989,839,12,0.0,58,10,1,0 days 01:30:33.561000,0 days 00:01:27.600000,217.931,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23794,989,844,13,0.0,58,15,1,0 days 01:30:49.042000,0 days 00:01:28.759000,215.085,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23795,989,840,14,0.0,58,14,1,0 days 01:30:51.571000,0 days 00:01:28.511000,215.688,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23796,989,843,15,0.0,57,13,11,,0 days 00:01:28.176000,216.507,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23797,989,154,16,0.0,24,16,36,,0 days 00:01:28.805000,214.974,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23798,989,825,17,0.0,22,17,36,,0 days 00:01:29.534000,213.224,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23799,989,842,18,0.0,13,18,5,,0 days 00:01:30.649000,210.601,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23800,989,828,19,0.0,5,19,38,,0 days 00:01:32.210000,207.036,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23801,989,845,20,0.0,4,20,23,,0 days 00:01:32.573000,206.224,2018,1,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,2018-03-25 05:10:00
23802,990,20,1,25.0,57,7,1,0 days 01:32:01.940000,0 days 00:01:34.453000,206.274,2018,2,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix,2018-04-08 15:10:00
23803,990,822,2,18.0,57,1,1,0 days 01:32:02.639000,0 days 00:01:33.740000,207.842,2018,2,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix,2018-04-08 15:10:00
