resultId,raceId,driverId,positionOrder,points,laps,rank,statusId,time_,fastestLapTime_,fastestLapSpeed_
26286,1121,830,1,26.0,57,1,1,0 days 01:31:44.742000,0 days 00:01:32.608000,210.383
26287,1121,815,2,18.0,57,4,1,0 days 01:32:07.199000,0 days 00:01:34.364000,206.468
26288,1121,832,3,15.0,57,6,1,0 days 01:32:09.852000,0 days 00:01:34.507000,206.156
26289,1121,844,4,12.0,57,2,1,0 days 01:32:24.411000,0 days 00:01:34.090000,207.069
26290,1121,847,5,10.0,57,12,1,0 days 01:32:31.530000,0 days 00:01:35.065000,204.946
26291,1121,846,6,8.0,57,5,1,0 days 01:32:33.200000,0 days 00:01:34.476000,206.223
26292,1121,1,7,6.0,57,7,1,0 days 01:32:35.066000,0 days 00:01:34.722000,205.688
26293,1121,857,8,4.0,57,11,1,0 days 01:32:40.824000,0 days 00:01:34.983000,205.123
26294,1121,4,9,2.0,57,3,1,0 days 01:32:59.629000,0 days 00:01:34.199000,206.83
26295,1121,840,10,1.0,57,16,1,0 days 01:33:17.958000,0 days 00:01:35.632000,203.73
26296,1121,855,11,0.0,56,14,11,,0 days 00:01:35.458000,204.102
26297,1121,825,12,0.0,56,15,11,,0 days 00:01:35.570000,203.863
26298,1121,817,13,0.0,56,13,11,,0 days 00:01:35.163000,204.735
26299,1121,852,14,0.0,56,18,11,,0 days 00:01:35.833000,203.303
26300,1121,848,15,0.0,56,17,11,,0 days 00:01:35.723000,203.537
26301,1121,807,16,0.0,56,10,11,,0 days 00:01:34.834000,205.445
26302,1121,839,17,0.0,56,20,11,,0 days 00:01:36.226000,202.473
26303,1121,842,18,0.0,56,9,11,,0 days 00:01:34.805000,205.508
26304,1121,822,19,0.0,56,19,11,,0 days 00:01:36.202000,202.523
26305,1121,858,20,0.0,55,8,12,,0 days 00:01:34.735000,205.659
26306,1122,830,1,25.0,50,3,1,0 days 01:20:43.273000,0 days 00:01:31.773000,242.188
26307,1122,815,2,18.0,50,8,1,0 days 01:21:02.704000,0 days 00:01:32.273000,240.876
26308,1122,844,3,16.0,50,1,1,0 days 01:21:01.912000,0 days 00:01:31.632000,242.561
26309,1122,857,4,12.0,50,10,1,0 days 01:21:15.280000,0 days 00:01:32.310000,240.779
26310,1122,4,5,10.0,50,13,1,0 days 01:21:19.032000,0 days 00:01:32.387000,240.579
26311,1122,847,6,8.0,50,7,1,0 days 01:21:23.209000,0 days 00:01:32.254000,240.926
26312,1122,860,7,6.0,50,5,1,0 days 01:21:25.952000,0 days 00:01:32.186000,241.103
26313,1122,846,8,4.0,50,4,1,0 days 01:21:28.981000,0 days 00:01:31.944000,241.738
26314,1122,1,9,2.0,50,2,1,0 days 01:21:30.664000,0 days 00:01:31.746000,242.26
26315,1122,807,10,1.0,50,12,1,0 days 01:22:00.269000,0 days 00:01:32.366000,240.633
26316,1122,848,11,0.0,50,9,1,0 days 01:22:11.627000,0 days 00:01:32.307000,240.787
26317,1122,825,12,0.0,50,11,1,0 days 01:22:35.646000,0 days 00:01:32.338000,240.706
26318,1122,839,13,0.0,49,17,11,,0 days 00:01:33.481000,237.763
26319,1122,858,14,0.0,49,18,11,,0 days 00:01:33.523000,237.657
26320,1122,852,15,0.0,49,15,11,,0 days 00:01:33.026000,238.926
26321,1122,817,16,0.0,49,16,11,,0 days 00:01:33.323000,238.166
26322,1122,822,17,0.0,49,14,11,,0 days 00:01:32.706000,239.751
26323,1122,855,18,0.0,49,6,11,,0 days 00:01:32.208000,241.046
26324,1122,840,19,0.0,5,19,3,,0 days 00:01:35.560000,232.591
26325,1122,842,20,0.0,1,0,6,,0 days 00:01:28.217748947,210.58524607730575
26326,1123,832,1,25.0,58,3,1,0 days 01:20:26.843000,0 days 00:01:20.031000,237.418
26327,1123,844,2,19.0,58,1,1,0 days 01:20:29.209000,0 days 00:01:19.813000,238.066
26328,1123,846,3,15.0,58,2,1,0 days 01:20:32.747000,0 days 00:01:19.915000,237.762
26329,1123,857,4,12.0,58,4,1,0 days 01:21:02.613000,0 days 00:01:20.199000,236.92
26330,1123,815,5,10.0,58,6,1,0 days 01:21:23.152000,0 days 00:01:20.388000,236.363
26331,1123,840,6,8.0,58,8,1,0 days 01:22:00.065000,0 days 00:01:20.930000,234.78
26332,1123,852,7,6.0,58,11,1,0 days 01:22:02.444000,0 days 00:01:21.134000,234.19
26333,1123,4,8,4.0,58,7,1,0 days 01:22:07.835000,0 days 00:01:20.493000,236.055
26334,1123,807,9,2.0,58,12,1,0 days 01:22:11.396000,0 days 00:01:21.145000,234.158
26335,1123,825,10,1.0,57,9,11,,0 days 00:01:21.082000,234.34
26336,1123,848,11,0.0,57,17,11,,0 days 00:01:21.618000,232.801
26337,1123,817,12,0.0,57,13,11,,0 days 00:01:21.239000,233.887
26338,1123,842,13,0.0,57,10,11,,0 days 00:01:21.090000,234.317
26339,1123,822,14,0.0,57,16,11,,0 days 00:01:21.422000,233.361
26340,1123,855,15,0.0,57,14,11,,0 days 00:01:21.327000,233.634
26341,1123,839,16,0.0,57,15,11,,0 days 00:01:21.354000,233.557
26342,1123,847,17,0.0,56,5,3,,0 days 00:01:20.284000,236.669
26343,1123,1,18,0.0,15,18,5,,0 days 00:01:22.444000,230.469
26344,1123,830,19,0.0,3,19,23,,0 days 00:01:23.115000,228.608
26345,1124,830,1,26.0,53,1,1,0 days 01:54:23.566000,0 days 00:01:33.706000,223.093
